Pack_Number,Pack_Title,Difficulty_Act,Chinese_Base_Words,Chinese_Example_Words,Chinese_Combined_Words
11,Basic Adjectives I,Act I: Foundation,"[大,小,多,少,长,短,高,矮,坏,新,旧,快,慢,远,近,早,晚]","[大家,长大,小心,大小,多谢,差不多,至少,减少,成长,校长,短信,简短,高兴,提高,太矮,矮小,坏人,损坏,新年,创新,旧货,依旧,快乐,赶快,慢跑,慢慢来,永远,远方,最近,附近,早起,趁早,晚饭,晚会]","[大,小,多,少,长,短,高,矮,坏,新,旧,快,慢,远,近,早,晚,大家,长大,小心,大小,多谢,差不多,至少,减少,成长,校长,短信,简短,高兴,提高,太矮,矮小,坏人,损坏,新年,创新,旧货,依旧,快乐,赶快,慢跑,慢慢来,永远,远方,最近,附近,早起,趁早,晚饭,晚会]"
12,Basic Adjectives II,Act I: Foundation,"[热,冷,暖和,凉快,干,湿,胖,瘦,厚,薄,宽,窄,深,浅,轻,重,干净,脏]","[热闹,热情,冷静,寒冷,很暖和,暖和一下,很凉快,凉快些,干杯,干活,潮湿,湿润,胖子,发胖,瘦身,消瘦,厚道,深厚,薄弱,单薄,宽容,放宽,狭窄,窄小,深刻,深入,浅显,浅薄,轻松,年轻,重要,严重,打扫干净,干净整洁,脏话,弄脏]","[热,冷,暖和,凉快,干,湿,胖,瘦,厚,薄,宽,窄,深,浅,轻,重,干净,脏,热闹,热情,冷静,寒冷,很暖和,暖和一下,很凉快,凉快些,干杯,干活,潮湿,湿润,胖子,发胖,瘦身,消瘦,厚道,深厚,薄弱,单薄,宽容,放宽,狭窄,窄小,深刻,深入,浅显,浅薄,轻松,年轻,重要,严重,打扫干净,干净整洁,脏话,弄脏]"
13,Core Radicals & Components,Act I: Foundation,"[人,心,木,火,土,日,女,田,目,耳,金,竹,石,雨,虫,言,贝,足,舌]","[人们,有人,心里,用心,木头,树木,火焰,着火,土地,泥土,日子,每日,女人,女孩,田地,农田,目光,注目,耳朵,入耳,金子,黄金,竹子,竹林,石头,岩石,雨天,下雨,虫子,昆虫,言语,发言,贝壳,宝贝,足够,手足,舌头,口舌]","[人,心,木,火,土,日,女,田,目,耳,金,竹,石,雨,虫,言,贝,足,舌,人们,有人,心里,用心,木头,树木,火焰,着火,土地,泥土,日子,每日,女人,女孩,田地,农田,目光,注目,耳朵,入耳,金子,黄金,竹子,竹林,石头,岩石,雨天,下雨,虫子,昆虫,言语,发言,贝壳,宝贝,足够,手足,舌头,口舌]"
14,Emergency & Survival,Act I: Foundation,"[救命,帮忙,紧急,危险,警察,消防,急救,注意,小心,医院,药房,厕所,出口,入口,丢失,迷路,安全,求助]","[救命啊,快救命,帮忙啊,请帮忙,紧急情况,很紧急,危险啊,有危险,警察来了,叫警察,消防员,消防车,急救箱,做急救,注意安全,请注意,小心点,请小心,去医院,在医院,找药房,去药房,厕所在哪,找厕所,出口在哪,找出口,入口在哪,找入口,丢失了,东西丢失,迷路了,我迷路,安全第一,很安全,求助电话,向人求助]","[救命,帮忙,紧急,危险,警察,消防,急救,注意,小心,医院,药房,厕所,出口,入口,丢失,迷路,安全,求助,救命啊,快救命,帮忙啊,请帮忙,紧急情况,很紧急,危险啊,有危险,警察来了,叫警察,消防员,消防车,急救箱,做急救,注意安全,请注意,小心点,请小心,去医院,在医院,找药房,去药房,厕所在哪,找厕所,出口在哪,找出口,入口在哪,找入口,丢失了,东西丢失,迷路了,我迷路,安全第一,很安全,求助电话,向人求助]"
15,Family Members,Act II: Development,"[家,家人,爸爸,妈妈,父母,儿子,女儿,孩子,哥哥,姐姐,弟弟,妹妹,爷爷,奶奶,外公,外婆,丈夫,妻子,亲戚]","[回家吧,在家里,家人团聚,想念家人,爸爸回来了,叫爸爸,妈妈做饭,找妈妈,孝敬父母,父母健康,儿子长大了,好儿子,女儿出嫁,好女儿,孩子上学,照顾孩子,哥哥结婚了,大哥哥,姐姐工作,大姐姐,弟弟上学,小弟弟,妹妹可爱,小妹妹,爷爷来了,看望爷爷,奶奶做饭,陪奶奶,外公来了,看外公,去外婆家,想外婆,丈夫上班,好丈夫,妻子做饭,爱妻子,走亲戚,亲戚朋友]","[家,家人,爸爸,妈妈,父母,儿子,女儿,孩子,哥哥,姐姐,弟弟,妹妹,爷爷,奶奶,外公,外婆,丈夫,妻子,亲戚,回家吧,在家里,家人团聚,想念家人,爸爸回来了,叫爸爸,妈妈做饭,找妈妈,孝敬父母,父母健康,儿子长大了,好儿子,女儿出嫁,好女儿,孩子上学,照顾孩子,哥哥结婚了,大哥哥,姐姐工作,大姐姐,弟弟上学,小弟弟,妹妹可爱,小妹妹,爷爷来了,看望爷爷,奶奶做饭,陪奶奶,外公来了,看外公,去外婆家,想外婆,丈夫上班,好丈夫,妻子做饭,爱妻子,走亲戚,亲戚朋友]"
16,Days of Week,Act II: Development,"[星期,星期一,星期二,星期三,星期四,星期五,星期六,星期日,周,周一,周末,工作日,礼拜,每周]","[星期几,这星期,星期一见,下星期一,星期二见,下星期二,星期三见,下星期三,星期四见,下星期四,星期五见,下星期五,星期六见,下星期六,星期日见,下星期日,一周,本周,周一见,下周一,周末好,这周末,工作日忙,每个工作日,做礼拜,这礼拜,每周都,坚持每周]","[星期,星期一,星期二,星期三,星期四,星期五,星期六,星期日,周,周一,周末,工作日,礼拜,每周,星期几,这星期,星期一见,下星期一,星期二见,下星期二,星期三见,下星期三,星期四见,下星期四,星期五见,下星期五,星期六见,下星期六,星期日见,下星期日,一周,本周,周一见,下周一,周末好,这周末,工作日忙,每个工作日,做礼拜,这礼拜,每周都,坚持每周]"
17,Months & Seasons,Act II: Development,"[月,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,春天,夏天,秋天,冬天,季节]","[这月,下月,一月份,在一月,二月份,在二月,三月份,在三月,四月份,在四月,五月份,在五月,六月份,在六月,七月份,在七月,八月份,在八月,九月份,在九月,十月份,在十月,十一月份,在十一月,十二月份,在十二月,春天来了,在春天,夏天热,在夏天,秋天凉,在秋天,冬天冷,在冬天,季节变换,换季节]","[月,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,春天,夏天,秋天,冬天,季节,这月,下月,一月份,在一月,二月份,在二月,三月份,在三月,四月份,在四月,五月份,在五月,六月份,在六月,七月份,在七月,八月份,在八月,九月份,在九月,十月份,在十月,十一月份,在十一月,十二月份,在十二月,春天来了,在春天,夏天热,在夏天,秋天凉,在秋天,冬天冷,在冬天,季节变换,换季节]"
18,Years & Calendar,Act II: Development,"[年,今年,明年,去年,前年,后年,每年,生日,日期,日历,农历,阳历,年代,周年,新年]","[一年,这年,今年好,在今年,明年见,等明年,去年去,在去年,前年来,在前年,后年到,等后年,每年都,坚持每年,生日快乐,过生日,日期对,定日期,看日历,查日历,农历年,按农历,阳历日,按阳历,年代久,那年代,周年庆,一周年,新年好,过新年]","[年,今年,明年,去年,前年,后年,每年,生日,日期,日历,农历,阳历,年代,周年,新年,一年,这年,今年好,在今年,明年见,等明年,去年去,在去年,前年来,在前年,后年到,等后年,每年都,坚持每年,生日快乐,过生日,日期对,定日期,看日历,查日历,农历年,按农历,阳历日,按阳历,年代久,那年代,周年庆,一周年,新年好,过新年]"
19,Telling Time,Act II: Development,"[点,分,秒,刻,半,小时,钟,手表,闹钟,时,准时,迟到,早到,整点,上午,时刻,晚点]","[几点,三点,几分,十分,几秒,三秒,一刻钟,三刻,半小时,两点半,一小时,两小时,几点钟,敲钟,看手表,戴手表,设闹钟,响闹钟,小时候,那时,准时到,很准时,迟到了,别迟到,早到了,提前早到,整点报时,每整点,上午好,在上午,时刻表,每时刻,晚点了,飞机晚点]","[点,分,秒,刻,半,小时,钟,手表,闹钟,时,准时,迟到,早到,整点,上午,时刻,晚点,几点,三点,几分,十分,几秒,三秒,一刻钟,三刻,半小时,两点半,一小时,两小时,几点钟,敲钟,看手表,戴手表,设闹钟,响闹钟,小时候,那时,准时到,很准时,迟到了,别迟到,早到了,提前早到,整点报时,每整点,上午好,在上午,时刻表,每时刻,晚点了,飞机晚点]"
20,Numbers 11-100,Act II: Development,"[十一,十二,十三,十五,二十,二十一,三十,四十,五十,六十,七十,八十,九十,百,千,万,亿,数字]","[十一个,第十一,十二个,第十二,十三个,第十三,十五个,第十五,二十个,第二十,二十一个,第二十一,三十个,第三十,四十个,第四十,五十个,第五十,六十个,第六十,七十个,第七十,八十个,第八十,九十个,第九十,一百个,几百,一千个,几千,一万个,几万,一亿个,几亿,数字大,这数字]","[十一,十二,十三,十五,二十,二十一,三十,四十,五十,六十,七十,八十,九十,百,千,万,亿,数字,十一个,第十一,十二个,第十二,十三个,第十三,十五个,第十五,二十个,第二十,二十一个,第二十一,三十个,第三十,四十个,第四十,五十个,第五十,六十个,第六十,七十个,第七十,八十个,第八十,九十个,第九十,一百个,几百,一千个,几千,一万个,几万,一亿个,几亿,数字大,这数字]"
21,More Measure Words,Act II: Development,"[盒,袋,份,遍,趟,顿,节,场,台,辆,座,层,间,棵,朵,串,束,堆]","[一盒糖,几盒,一袋米,几袋,一份报,几份,一遍又一遍,说一遍,跑一趟,几趟,一顿饭,几顿,一节课,几节,一场比赛,几场,一台电脑,几台,一辆车,几辆,一座山,几座,一层楼,几层,一间房,几间,一棵树,几棵,一朵花,几朵,一串葡萄,几串,一束花,几束,一堆东西,几堆]","[盒,袋,份,遍,趟,顿,节,场,台,辆,座,层,间,棵,朵,串,束,堆,一盒糖,几盒,一袋米,几袋,一份报,几份,一遍又一遍,说一遍,跑一趟,几趟,一顿饭,几顿,一节课,几节,一场比赛,几场,一台电脑,几台,一辆车,几辆,一座山,几座,一层楼,几层,一间房,几间,一棵树,几棵,一朵花,几朵,一串葡萄,几串,一束花,几束,一堆东西,几堆]"
22,More Action Verbs,Act II: Development,"[放,带,送,接,找,买,卖,租,借,还,教,学,问,答,告诉,认识,记,忘,搬,挪]","[放下,放好,带走,带来,送人,送走,接人,接住,找到,找人,买东西,买菜,卖东西,卖菜,租房,租车,借书,借钱,还书,还钱,教书,教人,学习,学会,问题,问人,回答,答案,告诉你,告诉我,认识你,认识人,记住,记得,忘记,忘了,搬家,搬走,挪开,挪动]","[放,带,送,接,找,买,卖,租,借,还,教,学,问,答,告诉,认识,记,忘,搬,挪,放下,放好,带走,带来,送人,送走,接人,接住,找到,找人,买东西,买菜,卖东西,卖菜,租房,租车,借书,借钱,还书,还钱,教书,教人,学习,学会,问题,问人,回答,答案,告诉你,告诉我,认识你,认识人,记住,记得,忘记,忘了,搬家,搬走,挪开,挪动]"
23,Daily Actions,Act II: Development,"[起床,睡觉,洗脸,刷牙,洗澡,洗手,穿衣,脱衣,吃饭,喝水,上班,下班,上学,放学,回家,出门,休息]","[起床了,早起床,睡觉吧,该睡觉,洗脸盆,去洗脸,刷牙膏,去刷牙,洗澡间,去洗澡,洗手液,去洗手,穿衣服,快穿衣,脱衣服,快脱衣,吃饭吧,去吃饭,喝水吧,多喝水,上班去,去上班,下班了,准备下班,上学去,去上学,放学了,刚放学,回家吧,快回家,出门吧,准备出门,休息吧,好好休息]","[起床,睡觉,洗脸,刷牙,洗澡,洗手,穿衣,脱衣,吃饭,喝水,上班,下班,上学,放学,回家,出门,休息,起床了,早起床,睡觉吧,该睡觉,洗脸盆,去洗脸,刷牙膏,去刷牙,洗澡间,去洗澡,洗手液,去洗手,穿衣服,快穿衣,脱衣服,快脱衣,吃饭吧,去吃饭,喝水吧,多喝水,上班去,去上班,下班了,准备下班,上学去,去上学,放学了,刚放学,回家吧,快回家,出门吧,准备出门,休息吧,好好休息]"
24,Places & Locations,Act II: Development,"[地方,学校,公司,银行,超市,商店,饭店,酒店,餐厅,机场,车站,公园,图书馆,办公室,邮局,电影院,博物馆,体育馆]","[这地方不错,找个地方,学校放假,学校很近,公司开会,公司上班,银行排队,银行取钱,超市买菜,超市打折,商店关门,逛商店,订饭店,饭店吃饭,酒店入住,订酒店,餐厅订座,西餐厅,机场接人,到机场,火车站,汽车站,公园散步,逛公园,图书馆借书,图书馆学习,回办公室,办公室开会,邮局寄信,找邮局,电影院看电影,新电影院,参观博物馆,历史博物馆,体育馆打球,奥运体育馆]","[地方,学校,公司,银行,超市,商店,饭店,酒店,餐厅,机场,车站,公园,图书馆,办公室,邮局,电影院,博物馆,体育馆,这地方不错,找个地方,学校放假,学校很近,公司开会,公司上班,银行排队,银行取钱,超市买菜,超市打折,商店关门,逛商店,订饭店,饭店吃饭,酒店入住,订酒店,餐厅订座,西餐厅,机场接人,到机场,火车站,汽车站,公园散步,逛公园,图书馆借书,图书馆学习,回办公室,办公室开会,邮局寄信,找邮局,电影院看电影,新电影院,参观博物馆,历史博物馆,体育馆打球,奥运体育馆]"
25,Directions & Positions,Act II: Development,"[前面,后面,左边,右边,上面,下面,里面,外面,中间,旁边,对面,附近,东,南,西,北,远处,近处]","[前面走,在前面,后面看,在后面,左边转,在左边,右边转,在右边,上面放,在上面,下面看,在下面,里面有,在里面,外面冷,在外面,中间坐,在中间,旁边站,在旁边,对面住,在对面,附近有,在附近,东边走,往东,南边走,往南,西边走,往西,北边走,往北,远处看,在远处,近处看,在近处]","[前面,后面,左边,右边,上面,下面,里面,外面,中间,旁边,对面,附近,东,南,西,北,远处,近处,前面走,在前面,后面看,在后面,左边转,在左边,右边转,在右边,上面放,在上面,下面看,在下面,里面有,在里面,外面冷,在外面,中间坐,在中间,旁边站,在旁边,对面住,在对面,附近有,在附近,东边走,往东,南边走,往南,西边走,往西,北边走,往北,远处看,在远处,近处看,在近处]"
26,Basic Transportation,Act II: Development,"[车,坐车,开车,骑车,走路,打车,出租车,公交车,地铁,火车,高铁,飞机,轮船,自行车,上车,下车,车票,堵车]","[汽车,买车,坐车去,喜欢坐车,开车走,学开车,骑车去,喜欢骑车,走路去,喜欢走路,打车走,我打车,出租车来了,坐出租车,公交车来了,坐公交车,地铁站,坐地铁,火车站,坐火车,高铁站,坐高铁,飞机场,坐飞机,轮船码头,坐轮船,自行车道,骑自行车,上车吧,快上车,下车吧,准备下车,买车票,没车票,堵车了,路上堵车]","[车,坐车,开车,骑车,走路,打车,出租车,公交车,地铁,火车,高铁,飞机,轮船,自行车,上车,下车,车票,堵车,汽车,买车,坐车去,喜欢坐车,开车走,学开车,骑车去,喜欢骑车,走路去,喜欢走路,打车走,我打车,出租车来了,坐出租车,公交车来了,坐公交车,地铁站,坐地铁,火车站,坐火车,高铁站,坐高铁,飞机场,坐飞机,轮船码头,坐轮船,自行车道,骑自行车,上车吧,快上车,下车吧,准备下车,买车票,没车票,堵车了,路上堵车]"
27,Colors,Act II: Development,"[颜色,红色,黄色,蓝色,绿色,白色,黑色,灰色,紫色,橙色,粉色,棕色,金色,银色,亮,暗,鲜艳,暗淡]","[什么颜色,颜色好看,红色的花,红色喜庆,黄色香蕉,黄色很亮,蓝色天空,蓝色大海,绿色的树,绿色环保,白色的云,白色干净,黑色的夜,穿黑色,灰色的墙,灰色天空,紫色的花,紫色浪漫,橙色橙子,橙色温暖,粉色裙子,粉色可爱,棕色的熊,棕色头发,金色阳光,金色闪闪,银色月光,银色闪亮,灯很亮,天亮了,天很暗,光线暗,颜色鲜艳,鲜艳夺目,颜色暗淡,光线暗淡]","[颜色,红色,黄色,蓝色,绿色,白色,黑色,灰色,紫色,橙色,粉色,棕色,金色,银色,亮,暗,鲜艳,暗淡,什么颜色,颜色好看,红色的花,红色喜庆,黄色香蕉,黄色很亮,蓝色天空,蓝色大海,绿色的树,绿色环保,白色的云,白色干净,黑色的夜,穿黑色,灰色的墙,灰色天空,紫色的花,紫色浪漫,橙色橙子,橙色温暖,粉色裙子,粉色可爱,棕色的熊,棕色头发,金色阳光,金色闪闪,银色月光,银色闪亮,灯很亮,天亮了,天很暗,光线暗,颜色鲜艳,鲜艳夺目,颜色暗淡,光线暗淡]"
28,Body Parts,Act III: Expansion,"[头,脸,眼睛,鼻子,嘴巴,耳朵,手,脚,身体,头发,牙齿,舌头,脖子,肩膀,胳膊,腿,肚子,背,心脏]","[头疼,摇头,洗脸,脸红,眼睛大,闭眼睛,鼻子高,擤鼻子,嘴巴大,张嘴巴,耳朵大,竖耳朵,手大,洗手,脚大,洗脚,身体好,锻炼身体,头发长,洗头发,牙齿白,刷牙齿,舌头长,伸舌头,脖子长,转脖子,肩膀宽,耸肩膀,胳膊长,伸胳膊,腿长,伸腿,肚子饿,拍肚子,后背,靠背,心脏跳,保护心脏]","[头,脸,眼睛,鼻子,嘴巴,耳朵,手,脚,身体,头发,牙齿,舌头,脖子,肩膀,胳膊,腿,肚子,背,心脏,头疼,摇头,洗脸,脸红,眼睛大,闭眼睛,鼻子高,擤鼻子,嘴巴大,张嘴巴,耳朵大,竖耳朵,手大,洗手,脚大,洗脚,身体好,锻炼身体,头发长,洗头发,牙齿白,刷牙齿,舌头长,伸舌头,脖子长,转脖子,肩膀宽,耸肩膀,胳膊长,伸胳膊,腿长,伸腿,肚子饿,拍肚子,后背,靠背,心脏跳,保护心脏]"
29,Food Basics,Act III: Expansion,"[饭,米饭,面,面条,馒头,包子,饺子,面包,鸡蛋,肉,鸡肉,猪肉,牛肉,蔬菜,水果,汤,羊肉,海鲜]","[吃饭,做饭,米饭香,煮米饭,吃面,做面,面条好,煮面条,馒头香,蒸馒头,包子香,蒸包子,饺子香,包饺子,面包香,烤面包,鸡蛋好,煎鸡蛋,吃肉,买肉,鸡肉好,炒鸡肉,猪肉香,炒猪肉,牛肉好,炒牛肉,蔬菜新鲜,吃蔬菜,水果甜,吃水果,汤好喝,喝汤,羊肉香,涮羊肉,海鲜好,吃海鲜]","[饭,米饭,面,面条,馒头,包子,饺子,面包,鸡蛋,肉,鸡肉,猪肉,牛肉,蔬菜,水果,汤,羊肉,海鲜,吃饭,做饭,米饭香,煮米饭,吃面,做面,面条好,煮面条,馒头香,蒸馒头,包子香,蒸包子,饺子香,包饺子,面包香,烤面包,鸡蛋好,煎鸡蛋,吃肉,买肉,鸡肉好,炒鸡肉,猪肉香,炒猪肉,牛肉好,炒牛肉,蔬菜新鲜,吃蔬菜,水果甜,吃水果,汤好喝,喝汤,羊肉香,涮羊肉,海鲜好,吃海鲜]"
30,Drinks & Beverages,Act III: Expansion,"[水,开水,茶,绿茶,红茶,咖啡,牛奶,奶茶,果汁,可乐,汽水,啤酒,白酒,红酒,饮料,豆浆,矿泉水]","[喝水,倒水,开水烫,烧开水,喝茶,泡茶,绿茶香,泡绿茶,红茶香,泡红茶,咖啡香,喝咖啡,牛奶好,喝牛奶,奶茶好,喝奶茶,果汁甜,榨果汁,可乐甜,喝可乐,汽水凉,喝汽水,啤酒凉,喝啤酒,白酒烈,喝白酒,红酒好,喝红酒,饮料甜,喝饮料,豆浆香,喝豆浆,矿泉水好,喝矿泉水]","[水,开水,茶,绿茶,红茶,咖啡,牛奶,奶茶,果汁,可乐,汽水,啤酒,白酒,红酒,饮料,豆浆,矿泉水,喝水,倒水,开水烫,烧开水,喝茶,泡茶,绿茶香,泡绿茶,红茶香,泡红茶,咖啡香,喝咖啡,牛奶好,喝牛奶,奶茶好,喝奶茶,果汁甜,榨果汁,可乐甜,喝可乐,汽水凉,喝汽水,啤酒凉,喝啤酒,白酒烈,喝白酒,红酒好,喝红酒,饮料甜,喝饮料,豆浆香,喝豆浆,矿泉水好,喝矿泉水]"
