Pack_Number,Pack_Title,Title_EN,Title_ZH,Title_Pinyin,Title_PT
130,Lifting & Waking (levantar),Lifting & Waking (levantar),抬起与醒来 (levantar),Táiqǐ yǔ Xǐnglái (levantar),Levantar
131,Materials,Materials,材料,Cáiliào,Materiais
132,Touching & Playing Music (tocar),Touching & Playing Music (tocar),触摸与演奏 (tocar),Chùmō yǔ Yǎnzòu (tocar),Tocar
133,Breaking (romper),Breaking (romper),打破 (romper),Dǎpò (romper),Quebrar
134,Farming & Agriculture,Farming & Agriculture,农业,Nóngyè,Agricultura
135,Sharing (compartir),Sharing (compartir),分享 (compartir),Fēnxiǎng (compartir),Compartilhar
136,Participating (participar),Participating (participar),参与 (participar),Cānyù (participar),Participar
137,Math Operations,Math Operations,数学运算,Shùxué Yùnsuàn,Operações Matemáticas
138,Preparing (preparar),Preparing (preparar),准备 (preparar),Zhǔnbèi (preparar),Preparar
139,Cooking (cocinar),Cooking (cocinar),烹饪 (cocinar),Pēngrèn (cocinar),Cozinhar
140,History Terms,History Terms,历史术语,Lìshǐ Shùyǔ,Termos Históricos
141,Accepting (aceptar),Accepting (aceptar),接受 (aceptar),Jiēshòu (aceptar),Aceitar
142,Rejecting (rechazar),Rejecting (rechazar),拒绝 (rechazar),Jùjué (rechazar),Rejeitar
143,Space & Universe,Space & Universe,太空与宇宙,Tàikōng yǔ Yǔzhòu,Espaço e Universo
144,Offering (ofrecer),Offering (ofrecer),提供 (ofrecer),Tígōng (ofrecer),Oferecer
145,Promising (prometer),Promising (prometer),承诺 (prometer),Chéngnuò (prometer),Prometer
146,Chemistry Terms,Chemistry Terms,化学术语,Huàxué Shùyǔ,Termos de Química
147,Moving (mover),Moving (mover),移动 (mover),Yídòng (mover),Mover
148,Stopping (detener),Stopping (detener),停止 (detener),Tíngzhǐ (detener),Parar
149,Military Terms,Military Terms,军事术语,Jūnshì Shùyǔ,Termos Militares
150,Continuing (continuar),Continuing (continuar),继续 (continuar),Jìxù (continuar),Continuar
151,Finishing (terminar),Finishing (terminar),完成 (terminar),Wánchéng (terminar),Terminar
152,Literature & Books,Literature & Books,文学与书籍,Wénxué yǔ Shūjí,Literatura e Livros
153,Developing (desarrollar),Developing (desarrollar),发展 (desarrollar),Fāzhǎn (desarrollar),Desenvolver
154,Producing (producir),Producing (producir),生产 (producir),Shēngchǎn (producir),Produzir
155,Construction,Construction,建筑,Jiànzhù,Construção
156,Directing (dirigir),Directing (dirigir),指导 (dirigir),Zhǐdǎo (dirigir),Dirigir
157,Organizing (organizar),Organizing (organizar),组织 (organizar),Zǔzhī (organizar),Organizar
158,Theater & Acting,Theater & Acting,戏剧与表演,Xìjù yǔ Biǎoyǎn,Teatro e Atuação
159,Traveling (viajar),Traveling (viajar),旅行 (viajar),Lǚxíng (viajar),Viajar
160,Resting (descansar),Resting (descansar),休息 (descansar),Xiūxi (descansar),Descansar
161,Philosophy Terms,Philosophy Terms,哲学术语,Zhéxué Shùyǔ,Termos Filosóficos
162,Practicing (practicar),Practicing (practicar),练习 (practicar),Liànxí (practicar),Praticar
163,Winning & Earning (ganar),Winning & Earning (ganar),赢得 (ganar),Yíngdé (ganar),Ganhar
164,Dance & Dancing,Dance & Dancing,舞蹈,Wǔdǎo,Dança
165,Losing (perder),Losing (perder),失去 (perder),Shīqù (perder),Perder
166,Forming (formar),Forming (formar),形成 (formar),Xíngchéng (formar),Formar
167,Fashion & Style,Fashion & Style,时尚与风格,Shíshàng yǔ Fēnggé,Moda e Estilo
168,Reaching (alcanzar),Reaching (alcanzar),达到 (alcanzar),Dádào (alcanzar),Alcançar
169,Maintaining (mantener),Maintaining (mantener),维持 (mantener),Wéichí (mantener),Manter
170,Psychology Terms,Psychology Terms,心理学术语,Xīnlǐxué Shùyǔ,Termos de Psicologia
171,Solving (resolver),Solving (resolver),解决 (resolver),Jiějué (resolver),Resolver
172,Avoiding (evitar),Avoiding (evitar),避免 (evitar),Bìmiǎn (evitar),Evitar
173,Journalism Terms,Journalism Terms,新闻术语,Xīnwén Shùyǔ,Termos de Jornalismo
174,Supposing (suponer),Supposing (suponer),假设 (suponer),Jiǎshè (suponer),Supor
175,Meaning (significar),Meaning (significar),意味 (significar),Yìwèi (significar),Significar
176,Photography Terms,Photography Terms,摄影术语,Shèyǐng Shùyǔ,Termos de Fotografia
177,Choosing (elegir),Choosing (elegir),选择 (elegir),Xuǎnzé (elegir),Escolher
178,Deciding (decidir),Deciding (decidir),决定 (decidir),Juédìng (decidir),Decidir
179,Marketing & Advertising,Marketing & Advertising,营销与广告,Yíngxiāo yǔ Guǎnggào,Marketing e Publicidade
180,Appearing (aparecer),Appearing (aparecer),出现 (aparecer),Chūxiàn (aparecer),Aparecer
181,Disappearing (desaparecer),Disappearing (desaparecer),消失 (desaparecer),Xiāoshī (desaparecer),Desaparecer
182,Telecommunications,Telecommunications,电信,Diànxìn,Telecomunicações
183,Birthdays & Fulfilling (cumplir),Birthdays & Fulfilling (cumplir),生日与实现 (cumplir),Shēngrì yǔ Shíxiàn (cumplir),Aniversários e Cumprir
184,Missing & Lacking (faltar),Missing & Lacking (faltar),缺少 (faltar),Quēshǎo (faltar),Faltar
185,Tourism Terms,Tourism Terms,旅游术语,Lǚyóu Shùyǔ,Termos de Turismo
186,Noticing (notar),Noticing (notar),注意到 (notar),Zhùyìdào (notar),Notar
187,Allowing (permitir),Allowing (permitir),允许 (permitir),Yǔnxǔ (permitir),Permitir
188,Manufacturing Terms,Manufacturing Terms,制造术语,Zhìzào Shùyǔ,Termos de Manufatura
189,Achieving (lograr),Achieving (lograr),实现 (lograr),Shíxiàn (lograr),Alcançar
190,Performing (realizar),Performing (realizar),执行 (realizar),Zhíxíng (realizar),Realizar
191,Economics Terms,Economics Terms,经济学术语,Jīngjìxué Shùyǔ,Termos de Economia
192,Existing (existir),Existing (existir),存在 (existir),Cúnzài (existir),Existir
193,Depending (depender),Depending (depender),依赖 (depender),Yīlài (depender),Depender
194,Retail & Sales,Retail & Sales,零售与销售,Língshòu yǔ Xiāoshòu,Varejo e Vendas
195,Belonging (pertenecer),Belonging (pertenecer),属于 (pertenecer),Shǔyú (pertenecer),Pertencer
196,Deserving (merecer),Deserving (merecer),值得 (merecer),Zhídé (merecer),Merecer
197,Insurance Terms,Insurance Terms,保险术语,Bǎoxiǎn Shùyǔ,Termos de Seguro
198,Suffering (sufrir),Suffering (sufrir),遭受 (sufrir),Zāoshòu (sufrir),Sofrer
199,Enjoying (disfrutar),Enjoying (disfrutar),享受 (disfrutar),Xiǎngshòu (disfrutar),Desfrutar
200,Real Estate Terms,Real Estate Terms,房地产术语,Fángdìchǎn Shùyǔ,Termos Imobiliários
201,Occurring (ocurrir),Occurring (ocurrir),发生 (ocurrir),Fāshēng (ocurrir),Ocorrer
202,Happening (suceder),Happening (suceder),发生 (suceder),Fāshēng (suceder),Suceder
203,Aviation Terms,Aviation Terms,航空术语,Hángkōng Shùyǔ,Termos de Aviação
204,Protecting (proteger),Protecting (proteger),保护 (proteger),Bǎohù (proteger),Proteger
205,Defending (defender),Defending (defender),防御 (defender),Fángyù (defender),Defender
206,Logistics & Shipping,Logistics & Shipping,物流与运输,Wùliú yǔ Yùnshū,Logística e Transporte
207,Reducing (reducir),Reducing (reducir),减少 (reducir),Jiǎnshǎo (reducir),Reduzir
208,Increasing (aumentar),Increasing (aumentar),增加 (aumentar),Zēngjiā (aumentar),Aumentar
209,Pharmaceutical Terms,Pharmaceutical Terms,制药术语,Zhìyào Shùyǔ,Termos Farmacêuticos
210,Demonstrating (demostrar),Demonstrating (demostrar),演示 (demostrar),Yǎnshì (demostrar),Demonstrar
211,Checking (comprobar),Checking (comprobar),检查 (comprobar),Jiǎnchá (comprobar),Verificar
212,Energy & Power,Energy & Power,能源与电力,Néngyuán yǔ Diànlì,Energia e Poder
213,Thanking (agradecer),Thanking (agradecer),感谢 (agradecer),Gǎnxiè (agradecer),Agradecer
214,Congratulating (felicitar),Congratulating (felicitar),祝贺 (felicitar),Zhùhè (felicitar),Felicitar
215,Automotive Terms,Automotive Terms,汽车术语,Qìchē Shùyǔ,Termos Automotivos
216,Suggesting (sugerir),Suggesting (sugerir),建议 (sugerir),Jiànyì (sugerir),Sugerir
217,Recommending (recomendar),Recommending (recomendar),推荐 (recomendar),Tuījiàn (recomendar),Recomendar
218,Subjunctive Triggers,Subjunctive Triggers,虚拟语气触发词,Xūnǐ Yǔqì Chùfā Cí,Gatilhos do Subjuntivo
219,Convincing (convencer),Convincing (convencer),说服 (convencer),Shuōfú (convencer),Convencer
220,Trusting (confiar),Trusting (confiar),信任 (confiar),Xìnrèn (confiar),Confiar
221,Past Subjunctive Forms,Past Subjunctive Forms,过去虚拟语气,Guòqù Xūnǐ Yǔqì,Formas do Subjuntivo Passado
222,Dreaming (soñar),Dreaming (soñar),梦想 (soñar),Mèngxiǎng (soñar),Sonhar
223,Agreeing (acordar),Agreeing (acordar),同意 (acordar),Tóngyì (acordar),Concordar
224,Robotics & AI Terms,Robotics & AI Terms,机器人与人工智能术语,Jīqìrén yǔ Réngōng Zhìnéng Shùyǔ,Termos de Robótica e IA
225,Warming (calentar),Warming (calentar),加热 (calentar),Jiārè (calentar),Aquecer
226,Cooling (enfriar),Cooling (enfriar),冷却 (enfriar),Lěngquè (enfriar),Esfriar
227,Alternative Medicine,Alternative Medicine,替代医学,Tìdài Yīxué,Medicina Alternativa
228,Hiding (esconder),Hiding (esconder),隐藏 (esconder),Yǐncáng (esconder),Esconder
229,Showing (mostrar),Showing (mostrar),展示 (mostrar),Zhǎnshì (mostrar),Mostrar
230,Virtual Reality Terms,Virtual Reality Terms,虚拟现实术语,Xūnǐ Xiànshí Shùyǔ,Termos de Realidade Virtual
231,Measuring (medir),Measuring (medir),测量 (medir),Cèliáng (medir),Medir
232,Weighing (pesar),Weighing (pesar),称重 (pesar),Chēngzhòng (pesar),Pesar
233,Cryptocurrency Terms,Cryptocurrency Terms,加密货币术语,Jiāmì Huòbì Shùyǔ,Termos de Criptomoeda
234,Opening (abrir),Opening (abrir),打开 (abrir),Dǎkāi (abrir),Abrir
235,Closing (cerrar),Closing (cerrar),关闭 (cerrar),Guānbì (cerrar),Fechar
236,Sustainable Living,Sustainable Living,可持续生活,Kě Chíxù Shēnghuó,Vida Sustentável
237,Pushing (empujar),Pushing (empujar),推 (empujar),Tuī (empujar),Empurrar
238,Pulling (tirar),Pulling (tirar),拉 (tirar),Lā (tirar),Puxar
239,Combining (combinar),Combining (combinar),组合 (combinar),Zǔhé (combinar),Combinar
240,Separating (separar),Separating (separar),分离 (separar),Fēnlí (separar),Separar
241,Dying (morir),Dying (morir),死亡 (morir),Sǐwáng (morir),Morrer
242,Irregular Past Forms,Irregular Past Forms,不规则过去式,Bù Guīzé Guòqùshì,Formas Irregulares do Passado
243,Growing (crecer),Growing (crecer),成长 (crecer),Chéngzhǎng (crecer),Crescer
244,Aging (envejecer),Aging (envejecer),衰老 (envejecer),Shuāilǎo (envejecer),Envelhecer
245,Command Forms,Command Forms,命令式,Mìnglìng Shì,Formas Imperativas
246,Reflexive Pronouns,Reflexive Pronouns,反身代词,Fǎnshēn Dàicí,Pronomes Reflexivos
247,Gerund Forms,Gerund Forms,动名词形式,Dòng Míngcí Xíngshì,Formas de Gerúndio
248,Perfect Tenses,Perfect Tenses,完成时态,Wánchéng Shítài,Tempos Perfeitos
249,Future Forms,Future Forms,将来时态,Jiānglái Shítài,Formas do Futuro
250,Common Idioms,Common Idioms,常用习语,Chángyòng Xíyǔ,Expressões Idiomáticas Comuns
